mean_return,std_return,mean_length,std_length,seed
7296.332038088819,3546.7274612454967,1000.0,0.0,42
10671.042859128034,2640.081834122708,1000.0,0.0,123
11097.091544708652,1620.8755819337223,1000.0,0.0,1
8567.537423540653,3548.0720138528254,1000.0,0.0,456
10617.005,3294.331,0.0,0.0,42
9243.272,3651.123,0.0,0.0,123
9910.299,3812.044,0.0,0.0,456
10018.618149690188,3644.284377172629,1000.0,0.0,42
8688.677637090203,3897.964977387636,1000.0,0.0,123
9058.04175929596,3933.6903789302014,1000.0,0.0,456
