mean_return,std_return,mean_length,std_length,seed,threshold_percentile,density_model
9479.266121912093,3372.7297576903616,1000.0,0.0,42,1,kde
8150.047268859253,3640.775384972287,1000.0,0.0,42,5,kde
9409.07441005508,3552.0966466045584,1000.0,0.0,42,10,kde
