threshold_percentile,mean_reward,std_reward,ci95_reward,n_seeds
1,-2.156459743202287,0.9088361632602869,1.028444934874883,3
5,-2.057589133151453,0.8223111484015118,0.9305326632589965,3
10,-2.130021204608668,0.8415903512264046,0.9523491350227945,3
15,-2.1520638228165008,0.9789936215320896,1.107835572615898,3
20,-2.090337846554463,0.8930734081558835,1.0106076983055958,3
