reward_penalty_coef,seed,last_10_performance
0.1,0,8081.653726843464
0.3,0,8113.955320894143
0.5,0,8482.425447456691
0.7,0,8696.738662144908
0.1,1,8049.924474392665
0.3,1,7129.545817663557
0.5,1,8519.255463521802
0.7,1,8597.20757548407
