reward_penalty_coef,mean_reward,std_reward,ci95_reward,n_seeds,model
0.1,8133.793913530659,273.1429355490217,2454.091909267333,2,gormpo_diffusion
0.3,6358.385931788023,524.0378769857715,4708.293522127734,2,gormpo_diffusion
0.5,8226.296507232335,555.1244612549199,4987.595400422083,2,gormpo_diffusion
0.7,8219.379623146317,170.795051279917,1534.5326528268135,2,gormpo_diffusion
