mean_return,std_return,mean_length,std_length,seed
-13.455990915570146,0.1385513193644463,11.0,0.0,42
11.30619893958748,37.0157799952997,94.29,21.31116843347638,123
222.51387065412084,19.72237326958335,131.05,9.275101077616352,456
457.83216525917857,43.01548377000461,155.88,10.095820917587634,42
-6.391285702833399,0.5818337516980829,37.22,0.54,123
-4.606390325450432,5.638637256191862,80.69,5.423458306283916,456
216.6986384959525,235.1133622283584,129.66,66.120529338474,42
341.7985420584302,297.1902777504358,123.36,69.88641069621475,42
222.4082444194817,5.890868579357568,89.73,1.765531081572907,42
2351.401809137914,2052.702286201785,527.33,387.67912131039503,123
40.12250814571705,6.160096042074906,79.69,3.0156093911513144,456
