seed,mean_return,std_return,mean_length,std_length
1,-171.7137145654994,57.1223578365966,1000.0,0.0
2,-170.42450011864935,53.21312760925473,1000.0,0.0
3,-166.3262129169422,55.49952524275667,1000.0,0.0
4,-170.3918162689072,55.8470720735655,1000.0,0.0
5,-169.25443310720595,57.189107711439966,1000.0,0.0
