mean_return,std_return,mean_length,std_length,seed
79.81722990406853,1.9683949856074583,51.27,1.362754563375225,42
110.80713639800688,2.8736039588877733,82.18,2.2332935319836484,123
79.79581483931486,2.2574067059114995,51.26,1.527219696049,42
110.14131773313616,2.659334602448268,81.69,2.0913870995107526,123
57.944605513623166,2.8010413990503604,86.95,3.380458548777073,456
79.72401081938247,2.0742741172933563,51.2,1.42828568570857,42
110.7910887827192,2.8231406950410256,82.17,2.186572660580937,123
57.86147328280951,2.8034638573251325,86.91,3.367773745369484,456
5.699289810411084,0.0341732004205518,10.0,0.0,42
15.083956552428932,0.3686372386678526,15.26,0.438634243989226,123
16.059015939836346,0.18262615957245562,13.99,0.09949874371066199,456
